model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,f1_wildchat_mean,f1_wildchat_sd,precision_wildchat_mean,precision_wildchat_sd,recall_wildchat_mean,recall_wildchat_sd
Linear classifier baseline,0.8929572785861405,0.019921512853971233,0.8827273527371375,0.03372312569378172,0.9432292907015671,0.0209284148683753,0.7195978665438778,0.046920294558534886,0.6182945736434109,0.057120783378802116,0.8679894179894181,0.07274122103989725
Random forest,0.917141718158262,0.019457237629180953,0.8789749842098178,0.037658947365238636,0.9517038728225942,0.022446835353311264,0.758186338950587,0.05368168450893458,0.7069734345351043,0.06344605858876227,0.8235449735449736,0.07697276230229985
Gradient boosting,0.9401435120589994,0.013501532431834658,0.8570538108698578,0.03582029797490234,0.9483971670860125,0.02746581044670924,0.7933377554168807,0.05156685073648813,0.8658137515505937,0.059243294228185674,0.735978835978836,0.07106806929944627
Dummy baseline,0.8423493455584348,0.00268905414472296,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
